index,predFile,predLabelsFile,truthFile,site,plotId,labels,grid
43,SCBI_021_bonap_grid2.csv,SCBI_BONAPlist_labels.csv,SCBI_021_subplot_labels.csv,SCBI,SCBI_021,bonap,2
44,SCBI_021_bonap_grid3.csv,SCBI_BONAPlist_labels.csv,SCBI_021_subplot_labels.csv,SCBI,SCBI_021,bonap,3
45,SCBI_015_bonap_grid3.csv,SCBI_BONAPlist_labels.csv,SCBI_015_subplot_labels.csv,SCBI,SCBI_015,bonap,3
46,SCBI_008_bonap_grid4.csv,SCBI_BONAPlist_labels.csv,SCBI_008_subplot_labels.csv,SCBI,SCBI_008,bonap,4
47,SCBI_015_bonap_grid4.csv,SCBI_BONAPlist_labels.csv,SCBI_015_subplot_labels.csv,SCBI,SCBI_015,bonap,4
48,SCBI_021_bonap_grid4.csv,SCBI_BONAPlist_labels.csv,SCBI_021_subplot_labels.csv,SCBI,SCBI_021,bonap,4
49,SCBI_005_gbif_grid2.csv,SCBI_GBIF_labels.csv,SCBI_005_subplot_labels.csv,SCBI,SCBI_005,gbif,2
50,SCBI_008_gbif_grid2.csv,SCBI_GBIF_labels.csv,SCBI_008_subplot_labels.csv,SCBI,SCBI_008,gbif,2
51,SCBI_005_gbif_grid3.csv,SCBI_GBIF_labels.csv,SCBI_005_subplot_labels.csv,SCBI,SCBI_005,gbif,3
52,SCBI_005_gbif_grid4.csv,SCBI_GBIF_labels.csv,SCBI_005_subplot_labels.csv,SCBI,SCBI_005,gbif,4
53,SCBI_015_gbif_grid2.csv,SCBI_GBIF_labels.csv,SCBI_015_subplot_labels.csv,SCBI,SCBI_015,gbif,2
54,SCBI_008_gbif_grid3.csv,SCBI_GBIF_labels.csv,SCBI_008_subplot_labels.csv,SCBI,SCBI_008,gbif,3
55,SCBI_008_gbif_grid4.csv,SCBI_GBIF_labels.csv,SCBI_008_subplot_labels.csv,SCBI,SCBI_008,gbif,4
56,SCBI_021_gbif_grid2.csv,SCBI_GBIF_labels.csv,SCBI_021_subplot_labels.csv,SCBI,SCBI_021,gbif,2
57,SCBI_015_gbif_grid3.csv,SCBI_GBIF_labels.csv,SCBI_015_subplot_labels.csv,SCBI,SCBI_015,gbif,3
58,SCBI_015_gbif_grid4.csv,SCBI_GBIF_labels.csv,SCBI_015_subplot_labels.csv,SCBI,SCBI_015,gbif,4
59,SCBI_021_gbif_grid3.csv,SCBI_GBIF_labels.csv,SCBI_021_subplot_labels.csv,SCBI,SCBI_021,gbif,3
60,SCBI_021_gbif_grid4.csv,SCBI_GBIF_labels.csv,SCBI_021_subplot_labels.csv,SCBI,SCBI_021,gbif,4
61,SCBI_005_neon_grid2.csv,SCBI_NEON_labels.csv,SCBI_005_subplot_labels.csv,SCBI,SCBI_005,neon,2
62,SCBI_005_neon_grid3.csv,SCBI_NEON_labels.csv,SCBI_005_subplot_labels.csv,SCBI,SCBI_005,neon,3
63,SCBI_008_neon_grid2.csv,SCBI_NEON_labels.csv,SCBI_008_subplot_labels.csv,SCBI,SCBI_008,neon,2
64,SCBI_008_neon_grid3.csv,SCBI_NEON_labels.csv,SCBI_008_subplot_labels.csv,SCBI,SCBI_008,neon,3
65,SCBI_005_neon_grid4.csv,SCBI_NEON_labels.csv,SCBI_005_subplot_labels.csv,SCBI,SCBI_005,neon,4
66,SCBI_015_neon_grid2.csv,SCBI_NEON_labels.csv,SCBI_015_subplot_labels.csv,SCBI,SCBI_015,neon,2
67,SCBI_015_neon_grid3.csv,SCBI_NEON_labels.csv,SCBI_015_subplot_labels.csv,SCBI,SCBI_015,neon,3
68,SCBI_008_neon_grid4.csv,SCBI_NEON_labels.csv,SCBI_008_subplot_labels.csv,SCBI,SCBI_008,neon,4
69,SCBI_021_neon_grid2.csv,SCBI_NEON_labels.csv,SCBI_021_subplot_labels.csv,SCBI,SCBI_021,neon,2
70,SCBI_021_neon_grid3.csv,SCBI_NEON_labels.csv,SCBI_021_subplot_labels.csv,SCBI,SCBI_021,neon,3
71,SCBI_015_neon_grid4.csv,SCBI_NEON_labels.csv,SCBI_015_subplot_labels.csv,SCBI,SCBI_015,neon,4
72,SCBI_021_neon_grid4.csv,SCBI_NEON_labels.csv,SCBI_021_subplot_labels.csv,SCBI,SCBI_021,neon,4
73,SCBI_005_state_grid2.csv,SCBI_state_labels.csv,SCBI_005_subplot_labels.csv,SCBI,SCBI_005,state,2
74,SCBI_008_state_grid2.csv,SCBI_state_labels.csv,SCBI_008_subplot_labels.csv,SCBI,SCBI_008,state,2
75,SCBI_015_state_grid2.csv,SCBI_state_labels.csv,SCBI_015_subplot_labels.csv,SCBI,SCBI_015,state,2
76,SCBI_008_state_grid3.csv,SCBI_state_labels.csv,SCBI_008_subplot_labels.csv,SCBI,SCBI_008,state,3
77,SCBI_005_state_grid3.csv,SCBI_state_labels.csv,SCBI_005_subplot_labels.csv,SCBI,SCBI_005,state,3
78,SCBI_005_state_grid4.csv,SCBI_state_labels.csv,SCBI_005_subplot_labels.csv,SCBI,SCBI_005,state,4
79,SCBI_015_state_grid3.csv,SCBI_state_labels.csv,SCBI_015_subplot_labels.csv,SCBI,SCBI_015,state,3
80,SCBI_015_state_grid4.csv,SCBI_state_labels.csv,SCBI_015_subplot_labels.csv,SCBI,SCBI_015,state,4
81,SCBI_008_state_grid4.csv,SCBI_state_labels.csv,SCBI_008_subplot_labels.csv,SCBI,SCBI_008,state,4
82,SCBI_021_state_grid2.csv,SCBI_state_labels.csv,SCBI_021_subplot_labels.csv,SCBI,SCBI_021,state,2
83,SCBI_021_state_grid3.csv,SCBI_state_labels.csv,SCBI_021_subplot_labels.csv,SCBI,SCBI_021,state,3
84,SCBI_021_state_grid4.csv,SCBI_state_labels.csv,SCBI_021_subplot_labels.csv,SCBI,SCBI_021,state,4
