taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory
4NXFZ,Pseudognaphalium stramineum (Kunth) W.A.Weber,4NXFY,Pseudognaphalium stramineum (Kunth) Anderb.,4,SPECIES,SYNONYM,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Pseudognaphalium,724Z,Pseudognaphalium stramineum,4NXFY,
3BHGW,Escobaria vivipara (Nutt.) Buxb.,3BHGW,Escobaria vivipara (Nutt.) Buxb.,75,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Caryophyllales,VW,Cactaceae,7HS,Escobaria,6344K,Escobaria vivipara,3BHGW,LC
5B2K9,Verbena bracteata Cav. ex Lag. & Rodr.,5B2K9,Verbena bracteata Cav. ex Lag. & Rodr.,30,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Lamiales,3F4,Verbenaceae,TMFZP,Verbena,99FT5,Verbena bracteata,5B2K9,
3CNYQ,Euphorbia glyptosperma Engelm.,3CNYQ,Euphorbia glyptosperma Engelm.,6,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Malpighiales,MLP,Euphorbiaceae,N7XM4,Euphorbia,8VRY5,Euphorbia glyptosperma,3CNYQ,
R6ZB,Carduus nutans L.,R6ZB,Carduus nutans L.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Carduus,3HGD,Carduus nutans,R6ZB,
HX52,Astragalus cicer L.,HX52,Astragalus cicer L.,1,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Fabales,383,Fabaceae,623QT,Astragalus,34JM,Astragalus cicer,HX52,
BNRBL,Oenothera villosa subsp. strigosa (Rydb.) W.Dietr. & P.H.Raven,BNRBL,Oenothera villosa subsp. strigosa (Rydb.) W.Dietr. & P.H.Raven,1,SUBSPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Myrtales,3LY,Onagraceae,DL8,Oenothera,63FVB,Oenothera villosa,74JBC,
4HG3W,Physaria ludoviciana (Nutt.) O'Kane & Al-Shehbaz,4HG3W,Physaria ludoviciana (Nutt.) O'Kane & Al-Shehbaz,8,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Capparales,V5D96,Brassicaceae,C6GCC,Physaria,C823G,Physaria ludoviciana,4HG3W,
4VXC8,Scorzonera laciniata L.,4VXC8,Scorzonera laciniata L.,7,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Scorzonera,7PZ7M,Scorzonera laciniata,4VXC8,
43LH7,Mirabilis linearis (Pursh) Heimerl,43LH7,Mirabilis linearis (Pursh) Heimerl,11,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Caryophyllales,VW,Nyctaginaceae,DG4,Mirabilis,5TK9,Mirabilis linearis,43LH7,
ZTV6,Cryptantha minima Rydb.,ZTV6,Cryptantha minima Rydb.,40,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Boraginales,TW,Boraginaceae,622G7,Cryptantha,62P4L,Cryptantha minima,ZTV6,
B9NV,Agrostis gigantea Roth,B9NV,Agrostis gigantea Roth,8,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Poales,627VM,Poaceae,627FW,Agrostis,8VTGL,Agrostis gigantea,B9NV,
6GNCS,Erigeron compositus Pursh,6GNCS,Erigeron compositus Pursh,9,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Erigeron,633LL,Erigeron compositus,6GNCS,
337ZQ,Cymopterus glomeratus DC.,337ZQ,Cymopterus glomeratus DC.,8,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Apiales,B7VXH,Apiaceae,6KC,Cymopterus,3YHZ,Cymopterus glomeratus,337ZQ,
3B4KJ,Eriogonum brevicaule Nutt.,3B4KJ,Eriogonum brevicaule Nutt.,6,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Caryophyllales,VW,Polygonaceae,627KD,Eriogonum,62RM7,Eriogonum brevicaule,3B4KJ,
3WFLZ,Lupinus pusillus Pursh,3WFLZ,Lupinus pusillus Pursh,53,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Fabales,383,Fabaceae,623QT,Lupinus,9CL8D,Lupinus pusillus,3WFLZ,
78BF9,Psathyrostachys juncea (Fisch.) Nevski,78BF9,Psathyrostachys juncea (Fisch.) Nevski,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Poales,627VM,Poaceae,627FW,Psathyrostachys,8W2QY,Psathyrostachys juncea,78BF9,LC
4BCJN,Oxybasis rubra (L.) S.Fuentes, Uotila & Borsch,4BCJN,Oxybasis rubra (L.) S.Fuentes, Uotila & Borsch,1,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Caryophyllales,VW,Amaranthaceae,68Z,Oxybasis,6B8C,Oxybasis rubra,4BCJN,LC
RB9L,Carex praegracilis W.Boott,RB9L,Carex praegracilis W.Boott,9,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Poales,627VM,Cyperaceae,8W5,Carex,8VRHY,Carex praegracilis,RB9L,
38HFQ,Echinocystis lobata (Michx.) Torr. & A.Gray,38HFQ,Echinocystis lobata (Michx.) Torr. & A.Gray,1,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Cucurbitales,32L,Cucurbitaceae,8SC,Echinocystis,49JH,Echinocystis lobata,38HFQ,
