"genus","species","scientific_name","common_name"
"Anthoxanthum","odoratum","Anthoxanthum odoratum"," Large Sweet Vernal Grass"
"Anthoxanthum","ovatum","Anthoxanthum ovatum"," Small Sweet Vernal Grass"
"Anthoxanthum","ovatum","Anthoxanthum ovatum"," var. aristatum"
"Anticlea","elegans","Anticlea elegans"," Mountain False Deathcamas"
"Anticlea","elegans","Anticlea elegans"," ssp. glauca"
"Apios","americana","Apios americana"," Groundnut"
"Aplectrum","hyemale","Aplectrum hyemale"," Adam-and-Eve"
"Apocynum","androsaemifolium","Apocynum androsaemifolium"," Spreading Dogbane"
"Apocynum","cannabinum","Apocynum cannabinum"," Indian-Hemp"
"Aquilegia","canadensis","Aquilegia canadensis"," Red Columbine"
"Arabidopsis","lyrata","Arabidopsis lyrata"," Lyre-Leaf Thalecress"
"Arabidopsis","lyrata","Arabidopsis lyrata"," ssp. lyrata"
"Arabidopsis","thaliana","Arabidopsis thaliana"," Thalecress"
"Arabis","patens","Arabis patens"," Spreading Eared Rockcress"
"Aralia","hispida","Aralia hispida"," Bristly Sarsaparilla"
"Aralia","nudicaulis","Aralia nudicaulis"," Wild Sarsaparilla"
"Aralia","racemosa","Aralia racemosa"," American Spikenard"
"Aralia","racemosa","Aralia racemosa"," ssp. racemosa"
"Aralia","spinosa","Aralia spinosa"," Devil's-Walkingstick"
"Arctium","minus","Arctium minus"," Lesser Burrdock"
"Arenaria","serpyllifolia","Arenaria serpyllifolia"," Thyme-Leaf Sandwort"
"Arenaria","serpyllifolia","Arenaria serpyllifolia"," var. serpyllifolia"
"Arenaria","serpyllifolia","Arenaria serpyllifolia"," var. tenuior"
"Argemone","mexicana","Argemone mexicana"," Mexican Prickly-Poppy"
"Arisaema","dracontium","Arisaema dracontium"," Greendragon"
"Arisaema","dracontium","Arisaema dracontium"," var. dracontium"
"Arisaema","triphyllum","Arisaema triphyllum"," Jack-in-the-Pulpit"
"Arisaema","triphyllum","Arisaema triphyllum"," ssp. pusillum"
"Arisaema","triphyllum","Arisaema triphyllum"," ssp. triphyllum"
"Aristida","basiramea","Aristida basiramea"," Forked Three-Awn"
"Aristida","dichotoma","Aristida dichotoma"," Church-Mouse Three-Awn"
