label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Usnea Dill. ex Adans.,Usnea Dill. ex Adans.,Usnea Dill. ex Adans.,Fungi Ascomycota Lecanoromycetes Lecanorales Parmeliaceae Usnea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Utricularia L.,Utricularia L.,Utricularia L.,Plantae Tracheophyta Magnoliopsida Lamiales Lentibulariaceae Utricularia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Utricularia macrorhiza Leconte,Utricularia macrorhiza,Utricularia macrorhiza Leconte,Plantae Tracheophyta Magnoliopsida Lamiales Lentibulariaceae Utricularia Utricularia macrorhiza,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Utricularia minor L.,Utricularia minor,Utricularia minor L.,Plantae Tracheophyta Magnoliopsida Lamiales Lentibulariaceae Utricularia Utricularia minor,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Utricularia ochroleuca R.W. Hartm.,Utricularia ochroleuca,Utricularia ochroleuca R.W. Hartm.,Plantae Tracheophyta Magnoliopsida Lamiales Lentibulariaceae Utricularia Utricularia ochroleuca,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Vaccaria hispanica (Mill.) Rauschert,Gypsophila vaccaria,Vaccaria hispanica (Mill.) Rauschert,Plantae Tracheophyta Magnoliopsida Caryophyllales Caryophyllaceae Gypsophila Gypsophila vaccaria,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Vaccaria von Wolf,Vaccaria von Wolf,Vaccaria von Wolf,Plantae Vaccaria Vaccaria von Wolf,FAILED_FORCED_INPUT
Vaccinium L.,Vaccinium L.,Vaccinium L.,Plantae Tracheophyta Magnoliopsida Ericales Ericaceae Vaccinium,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Vaccinium cespitosum Michx.,Vaccinium cespitosum,Vaccinium cespitosum Michx.,Plantae Tracheophyta Magnoliopsida Ericales Ericaceae Vaccinium Vaccinium cespitosum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Vaccinium membranaceum Douglas ex Torr.,Vaccinium membranaceum,Vaccinium membranaceum Douglas ex Torr.,Plantae Tracheophyta Magnoliopsida Ericales Ericaceae Vaccinium Vaccinium membranaceum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Vaccinium myrtillus L.,Vaccinium myrtillus,Vaccinium myrtillus L.,Plantae Tracheophyta Magnoliopsida Ericales Ericaceae Vaccinium Vaccinium myrtillus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Vaccinium scoparium Leiberg ex Coville,Vaccinium scoparium,Vaccinium scoparium Leiberg ex Coville,Plantae Tracheophyta Magnoliopsida Ericales Ericaceae Vaccinium Vaccinium scoparium,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Vahlodea Fr.,Vahlodea Fr.,Vahlodea Fr.,Plantae Tracheophyta Liliopsida Poales Poaceae Vahlodea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Vahlodea atropurpurea (Wahlenb.) Fr. ex Hartm.,Vahlodea atropurpurea,Vahlodea atropurpurea (Wahlenb.) Fr. ex Hartm.,Plantae Tracheophyta Liliopsida Poales Poaceae Vahlodea Vahlodea atropurpurea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Valeriana L.,Valeriana L.,Valeriana L.,Plantae Tracheophyta Magnoliopsida Dipsacales Caprifoliaceae Valeriana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Valeriana acutiloba Rydb.,Valeriana acutiloba,Valeriana acutiloba Rydb.,Plantae Tracheophyta Magnoliopsida Dipsacales Caprifoliaceae Valeriana Valeriana acutiloba,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Valeriana acutiloba Rydb. var. acutiloba,Valeriana acutiloba,Valeriana acutiloba Rydb. var. acutiloba,Plantae Tracheophyta Magnoliopsida Dipsacales Caprifoliaceae Valeriana Valeriana acutiloba,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Valeriana acutiloba Rydb. var. pubicarpa (Rydb.) Cronquist,Valeriana acutiloba,Valeriana acutiloba Rydb. var. pubicarpa (Rydb.) Cronquist,Plantae Tracheophyta Magnoliopsida Dipsacales Caprifoliaceae Valeriana Valeriana acutiloba,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Valeriana arizonica A. Gray,Valeriana arizonica,Valeriana arizonica A. Gray,Plantae Tracheophyta Magnoliopsida Dipsacales Caprifoliaceae Valeriana Valeriana arizonica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Valeriana edulis Nutt. ex Torr. & A. Gray,Valeriana edulis,Valeriana edulis Nutt. ex Torr. & A. Gray,Plantae Tracheophyta Magnoliopsida Dipsacales Caprifoliaceae Valeriana Valeriana edulis,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Valeriana edulis Nutt. ex Torr. & A. Gray var. edulis,Valeriana edulis,Valeriana edulis Nutt. ex Torr. & A. Gray var. edulis,Plantae Tracheophyta Magnoliopsida Dipsacales Caprifoliaceae Valeriana Valeriana edulis,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Valeriana occidentalis A. Heller,Valeriana occidentalis,Valeriana occidentalis A. Heller,Plantae Tracheophyta Magnoliopsida Dipsacales Caprifoliaceae Valeriana Valeriana occidentalis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Veratrum L.,Veratrum L.,Veratrum L.,Plantae Tracheophyta Liliopsida Liliales Melanthiaceae Veratrum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Veratrum tenuipetalum A. Heller,Veratrum californicum,Veratrum tenuipetalum A. Heller,Plantae Tracheophyta Liliopsida Liliales Melanthiaceae Veratrum Veratrum californicum,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Verbascum L.,Verbascum L.,Verbascum L.,Plantae Tracheophyta Magnoliopsida Lamiales Scrophulariaceae Verbascum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Verbascum blattaria L.,Verbascum blattaria,Verbascum blattaria L.,Plantae Tracheophyta Magnoliopsida Lamiales Scrophulariaceae Verbascum Verbascum blattaria,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Verbascum phlomoides L.,Verbascum phlomoides,Verbascum phlomoides L.,Plantae Tracheophyta Magnoliopsida Lamiales Scrophulariaceae Verbascum Verbascum phlomoides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Verbascum thapsus L.,Verbascum thapsus L.,Verbascum thapsus L.,Plantae Verbascum Verbascum thapsus L.,FAILED_FORCED_INPUT
Verbascum ×pterocaulon Franch. [blattaria × thapsus],Verbascum pterocaulon,Verbascum ×pterocaulon Franch. [blattaria × thapsus],Plantae Tracheophyta Magnoliopsida Lamiales Scrophulariaceae Verbascum Verbascum pterocaulon,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Verbena L.,Verbena L.,Verbena L.,Plantae Tracheophyta Magnoliopsida Lamiales Verbenaceae Verbena,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Verbena bracteata Cav. ex Lag. & Rodr.,Verbena bracteata,Verbena bracteata Cav. ex Lag. & Rodr.,Plantae Tracheophyta Magnoliopsida Lamiales Verbenaceae Verbena Verbena bracteata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Verbena hastata L.,Verbena hastata,Verbena hastata L.,Plantae Tracheophyta Magnoliopsida Lamiales Verbenaceae Verbena Verbena hastata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Verbena hastata L. var. scabra Moldenke,Verbena hastata L. var. scabra Moldenke,Verbena hastata L. var. scabra Moldenke,Plantae Verbena Verbena hastata L. var. scabra Moldenke,FORCE_ACCEPTED
Verbena macdougalii A. Heller,Verbena macdougalii,Verbena macdougalii A. Heller,Plantae Tracheophyta Magnoliopsida Lamiales Verbenaceae Verbena Verbena macdougalii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Verbena officinalis L.,Verbena officinalis,Verbena officinalis L.,Plantae Tracheophyta Magnoliopsida Lamiales Verbenaceae Verbena Verbena officinalis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Verbena officinalis L. var. officinalis,Verbena officinalis,Verbena officinalis L. var. officinalis,Plantae Tracheophyta Magnoliopsida Lamiales Verbenaceae Verbena Verbena officinalis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Verbena plicata Greene,Verbena plicata,Verbena plicata Greene,Plantae Tracheophyta Magnoliopsida Lamiales Verbenaceae Verbena Verbena plicata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Verbena stricta Vent.,Verbena stricta,Verbena stricta Vent.,Plantae Tracheophyta Magnoliopsida Lamiales Verbenaceae Verbena Verbena stricta,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Verbena ×crookshanksii Moldenke [bracteata × hastata],Verbena crookshanksii,Verbena ×crookshanksii Moldenke [bracteata × hastata],Plantae Tracheophyta Magnoliopsida Lamiales Verbenaceae Verbena Verbena crookshanksii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Verbesina L.,Verbesina L.,Verbesina L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Verbesina,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Verbesina encelioides (Cav.) Benth. & Hook. f. ex A. Gray,Verbesina encelioides,Verbesina encelioides (Cav.) Benth. & Hook. f. ex A. Gray,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Verbesina Verbesina encelioides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Verbesina encelioides (Cav.) Benth. & Hook. f. ex A. Gray ssp. encelioides,Verbesina encelioides,Verbesina encelioides (Cav.) Benth. & Hook. f. ex A. Gray ssp. encelioides,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Verbesina Verbesina encelioides,PARTIAL_EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_DISAMBIGUATED
Verbesina encelioides (Cav.) Benth. & Hook. f. ex A. Gray ssp. exauriculata (B.L. Rob. & Greenm.) J.R. Coleman,Verbesina encelioides,Verbesina encelioides (Cav.) Benth. & Hook. f. ex A. Gray ssp. exauriculata (B.L. Rob. & Greenm.) J.R. Coleman,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Verbesina Verbesina encelioides,MULTI_EXACT_MATCH_PRIMARY_SOURCE_SYNONYMS_INFRASPECIFIC_SCORE
Vernonia Schreb.,Vernonia Schreb.,Vernonia Schreb.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Vernonia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Vernonia baldwinii Torr.,Vernonia baldwinii,Vernonia baldwinii Torr.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Vernonia Vernonia baldwinii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Vernonia baldwinii Torr. ssp. interior (Small) Faust,Vernonia baldwinii,Vernonia baldwinii Torr. ssp. interior (Small) Faust,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Vernonia Vernonia baldwinii,MULTI_EXACT_MATCH_PRIMARY_SOURCE_SYNONYMS_INFRASPECIFIC_SCORE
Vernonia fasciculata Michx.,Vernonia fasciculata,Vernonia fasciculata Michx.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Vernonia Vernonia fasciculata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Vernonia fasciculata Michx. ssp. corymbosa (Schwein. ex Keating) S.B. Jones,Vernonia fasciculata,Vernonia fasciculata Michx. ssp. corymbosa (Schwein. ex Keating) S.B. Jones,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Vernonia Vernonia fasciculata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Vernonia marginata (Torr.) Raf.,Vernonia marginata,Vernonia marginata (Torr.) Raf.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Vernonia Vernonia marginata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Veronica L.,Veronica L.,Veronica L.,Plantae Tracheophyta Magnoliopsida Lamiales Plantaginaceae Veronica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Veronica agrestis L.,Veronica agrestis,Veronica agrestis L.,Plantae Tracheophyta Magnoliopsida Lamiales Plantaginaceae Veronica Veronica agrestis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Veronica americana Schwein. ex Benth.,Veronica americana,Veronica americana Schwein. ex Benth.,Plantae Tracheophyta Magnoliopsida Lamiales Plantaginaceae Veronica Veronica americana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Veronica anagallis-aquatica L.,Veronica anagallis-aquatica,Veronica anagallis-aquatica L.,Plantae Tracheophyta Magnoliopsida Lamiales Plantaginaceae Veronica Veronica anagallis-aquatica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Veronica arvensis L.,Veronica arvensis,Veronica arvensis L.,Plantae Tracheophyta Magnoliopsida Lamiales Plantaginaceae Veronica Veronica arvensis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Veronica biloba L.,Veronica biloba,Veronica biloba L.,Plantae Tracheophyta Magnoliopsida Lamiales Plantaginaceae Veronica Veronica biloba,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Veronica peregrina L.,Veronica peregrina,Veronica peregrina L.,Plantae Tracheophyta Magnoliopsida Lamiales Plantaginaceae Veronica Veronica peregrina,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Veronica peregrina L. ssp. xalapensis (Kunth) Pennell,Veronica peregrina,Veronica peregrina L. ssp. xalapensis (Kunth) Pennell,Plantae Tracheophyta Magnoliopsida Lamiales Plantaginaceae Veronica Veronica peregrina,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Veronica persica Poir.,Veronica persica,Veronica persica Poir.,Plantae Tracheophyta Magnoliopsida Lamiales Plantaginaceae Veronica Veronica persica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Veronica polita Fr.,Veronica polita,Veronica polita Fr.,Plantae Tracheophyta Magnoliopsida Lamiales Plantaginaceae Veronica Veronica polita,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Veronica scutellata L.,Veronica scutellata,Veronica scutellata L.,Plantae Tracheophyta Magnoliopsida Lamiales Plantaginaceae Veronica Veronica scutellata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Veronica serpyllifolia L.,Veronica serpyllifolia,Veronica serpyllifolia L.,Plantae Tracheophyta Magnoliopsida Lamiales Plantaginaceae Veronica Veronica serpyllifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Veronica serpyllifolia L. ssp. humifusa (Dicks.) Syme,Veronica serpyllifolia,Veronica serpyllifolia L. ssp. humifusa (Dicks.) Syme,Plantae Tracheophyta Magnoliopsida Lamiales Plantaginaceae Veronica Veronica serpyllifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Veronica wormskjoldii Roem. & Schult.,Veronica wormskjoldii,Veronica wormskjoldii Roem. & Schult.,Plantae Tracheophyta Magnoliopsida Lamiales Plantaginaceae Veronica Veronica wormskjoldii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Veronica wormskjoldii Roem. & Schult. var. wormskjoldii,Veronica wormskjoldii,Veronica wormskjoldii Roem. & Schult. var. wormskjoldii,Plantae Tracheophyta Magnoliopsida Lamiales Plantaginaceae Veronica Veronica wormskjoldii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Viburnum L.,Viburnum L.,Viburnum L.,Plantae Tracheophyta Magnoliopsida Dipsacales Viburnaceae Viburnum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Viburnum edule (Michx.) Raf.,Viburnum edule,Viburnum edule (Michx.) Raf.,Plantae Tracheophyta Magnoliopsida Dipsacales Viburnaceae Viburnum Viburnum edule,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Viburnum lantana L.,Viburnum lantana,Viburnum lantana L.,Plantae Tracheophyta Magnoliopsida Dipsacales Viburnaceae Viburnum Viburnum lantana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Viburnum lentago L.,Viburnum lentago,Viburnum lentago L.,Plantae Tracheophyta Magnoliopsida Dipsacales Viburnaceae Viburnum Viburnum lentago,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
