taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory
622TP,Asteraceae Dumort.,622TP,Asteraceae Dumort.,2,FAMILY,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,,,,,
53Q88,Symphyotrichum lateriflorum (L.) Á.Löve & D.Löve,53Q88,Symphyotrichum lateriflorum (L.) Á.Löve & D.Löve,6,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Symphyotrichum,7QW7,Symphyotrichum lateriflorum,53Q88,
DXL9,Anemone virginiana L.,DXL9,Anemone virginiana L.,5,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Ranunculales,3XS,Ranunculaceae,FJR,Anemone,VXV,Anemone virginiana,DXL9,
L24L5,Erechtites hieraciifolius (L.) Raf. ex DC.,L24L5,Erechtites hieraciifolius (L.) Raf. ex DC.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Erechtites,4DPQ,Erechtites hieraciifolius,L24L5,
R8KK,Carex cephalophora Muhl. ex Willd.,R8KK,Carex cephalophora Muhl. ex Willd.,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Poales,627VM,Cyperaceae,8W5,Carex,8VRHY,Carex cephalophora,R8KK,
799R2,Rudbeckia laciniata L.,799R2,Rudbeckia laciniata L.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Rudbeckia,63RK3,Rudbeckia laciniata,799R2,
449TF,Monotropa uniflora L.,449TF,Monotropa uniflora L.,5,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Ericales,625QY,Ericaceae,623P8,Monotropa,63CVZ,Monotropa uniflora,449TF,
3RT2J,Lactuca canadensis L.,3RT2J,Lactuca canadensis L.,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Lactuca,7NF36,Lactuca canadensis,3RT2J,
76KZM,Penstemon laevigatus Aiton,76KZM,Penstemon laevigatus Aiton,3,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Lamiales,3F4,Plantaginaceae,6262K,Penstemon,6KPY,Penstemon laevigatus,76KZM,
6NFM9,Juglans nigra L.,6NFM9,Juglans nigra L.,15,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Fagales,384,Juglandaceae,BJB,Juglans,56VV,Juglans nigra,6NFM9,LC
6XJ3Y,Sanicula marilandica L.,6XJ3Y,Sanicula marilandica L.,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Apiales,B7VXH,Apiaceae,6KC,Sanicula,7C7R,Sanicula marilandica,6XJ3Y,
4TCZZ,Rosa carolina L.,4TCZZ,Rosa carolina L.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Rosales,3Z6,Rosaceae,FTK,Rosa,63S6D,Rosa carolina,4TCZZ,
6YRVZ,Smilax tamnoides L.,6YRVZ,Smilax tamnoides L.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Liliales,623DL,Smilacaceae,GCL,Smilax,8W3MJ,Smilax tamnoides,6YRVZ,
3ZJGV,Melissa officinalis L.,3ZJGV,Melissa officinalis L.,3,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Lamiales,3F4,Lamiaceae,PR82T,Melissa,8VZ92,Melissa officinalis,3ZJGV,
6VTRZ,Polymnia canadensis L.,6VTRZ,Polymnia canadensis L.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Polymnia,B3GLT,Polymnia canadensis,6VTRZ,
53PNG,Symphoricarpos orbiculatus Moench,53PNG,Symphoricarpos orbiculatus Moench,6,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Dipsacales,35C,Caprifoliaceae,KV2D5,Symphoricarpos,7QV6,Symphoricarpos orbiculatus,53PNG,
4M635,Potentilla simplex Michx.,4M635,Potentilla simplex Michx.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Rosales,3Z6,Rosaceae,FTK,Potentilla,6V7H,Potentilla simplex,4M635,
HL6V,Asplenium platyneuron (L.) Britton, Sterns & Poggenb.,HL6V,Asplenium platyneuron (L.) Britton, Sterns & Poggenb.,9,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Polypodiopsida,GV,Polypodiales,3VL,Aspleniaceae,6TQ,Asplenium,346X,Asplenium platyneuron,HL6V,
66F45,Amphicarpaea bracteata (L.) Fernald,66F45,Amphicarpaea bracteata (L.) Fernald,5,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Fabales,383,Fabaceae,623QT,Amphicarpaea,9CJQS,Amphicarpaea bracteata,66F45,
FR6J,Apocynum androsaemifolium L.,FR6J,Apocynum androsaemifolium L.,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Gentianales,39D,Apocynaceae,6L2,Apocynum,YV8,Apocynum androsaemifolium,FR6J,
R6ZB,Carduus nutans L.,R6ZB,Carduus nutans L.,1,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Carduus,3HGD,Carduus nutans,R6ZB,
4N97Q,Prunus serotina Ehrh.,4N97Q,Prunus serotina Ehrh.,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Rosales,3Z6,Rosaceae,FTK,Prunus,6Y6H,Prunus serotina,4N97Q,LC
3F3B8,Galearis spectabilis (L.) Raf.,3F3B8,Galearis spectabilis (L.) Raf.,6,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Asparagales,SP,Orchidaceae,DPL,Galearis,8VXRD,Galearis spectabilis,3F3B8,
7G45M,Viola palmata L.,7G45M,Viola palmata L.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Malpighiales,MLP,Violaceae,6272Z,Viola,86VM,Viola palmata,7G45M,
LS97,Bidens frondosa L.,LS97,Bidens frondosa L.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Bidens,62GF8,Bidens frondosa,LS97,LC
4XSHW,Sisyrinchium angustifolium Mill.,4XSHW,Sisyrinchium angustifolium Mill.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Asparagales,SP,Iridaceae,BFJ,Sisyrinchium,8W3M4,Sisyrinchium angustifolium,4XSHW,
37WPF,Dryopteris intermedia (Muhl. ex Willd.) A.Gray,37WPF,Dryopteris intermedia (Muhl. ex Willd.) A.Gray,1,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Polypodiopsida,GV,Polypodiales,3VL,Dryopteridaceae,9H9,Dryopteris,48JM,Dryopteris intermedia,37WPF,LC
4T7YV,Robinia pseudoacacia L.,4T7YV,Robinia pseudoacacia L.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Fabales,383,Fabaceae,623QT,Robinia,9CLYF,Robinia pseudoacacia,4T7YV,LC
4J2KR,Pinus virginiana Mill.,4J2KR,Pinus virginiana Mill.,1,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Pinopsida,C7ZVJ,Pinales,C7ZVH,Pinaceae,C7ZVG,Pinus,C84WJ,Pinus virginiana,4J2KR,LC
CZ669,Acer negundo var. negundo,94F5,Acer negundo L.,5,VARIETY,SYNONYM,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Sapindales,3ZY,Sapindaceae,FY3,Acer,MLD,Acer negundo,94F5,
872G,Vitis L.,872G,Vitis L.,5,GENUS,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Vitales,6237J,Vitaceae,6273G,Vitis,872G,,,
6X452,Quercus velutina Lam.,6X452,Quercus velutina Lam.,3,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Fagales,384,Fagaceae,NPBN9,Quercus,8W2YL,Quercus velutina,6X452,LC
79QLB,Sassafras albidum (Nutt.) Nees,79QLB,Sassafras albidum (Nutt.) Nees,7,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Laurales,3F8,Lauraceae,BTB,Sassafras,643PF,Sassafras albidum,79QLB,LC
487MQ,Nyssa sylvatica Marshall,487MQ,Nyssa sylvatica Marshall,1,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Cornales,ZT,Nyssaceae,QKJKY,Nyssa,8VZSN,Nyssa sylvatica,487MQ,LC
RHRN,Carya alba (L.) Nutt.,RHRN,Carya alba (L.) Nutt.,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Fagales,384,Juglandaceae,BJB,Carya,3HXZ,Carya alba,RHRN,LC
84MS,Ulmus L.,84MS,Ulmus L.,2,GENUS,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Rosales,3Z6,Ulmaceae,HNB,Ulmus,84MS,,,
RHS8,Carya glabra (Mill.) Sweet,RHS8,Carya glabra (Mill.) Sweet,1,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Fagales,384,Juglandaceae,BJB,Carya,3HXZ,Carya glabra,RHS8,LC
6TVD7,Paulownia tomentosa (Thunb.) Steud.,6TVD7,Paulownia tomentosa (Thunb.) Steud.,1,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Lamiales,3F4,Paulowniaceae,626CS,Paulownia,6JPP,Paulownia tomentosa,6TVD7,LC
3VCGS,Liriodendron tulipifera L.,3VCGS,Liriodendron tulipifera L.,23,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Magnoliales,3HL,Magnoliaceae,Q3MV6,Liriodendron,8VYYL,Liriodendron tulipifera,3VCGS,LC
4R47Z,Quercus alba L.,4R47Z,Quercus alba L.,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Fagales,384,Fagaceae,NPBN9,Quercus,8W2YL,Quercus alba,4R47Z,LC
4R5Z8,Quercus rubra L.,4R5Z8,Quercus rubra L.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Fagales,384,Fagaceae,NPBN9,Quercus,8W2YL,Quercus rubra,4R5Z8,LC
4JN3N,Platanus occidentalis L.,4JN3N,Platanus occidentalis L.,3,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Proteales,3WP,Platanaceae,6262P,Platanus,6RKR,Platanus occidentalis,4JN3N,LC
4N8P4,Prunus avium (L.) L.,4N8P4,Prunus avium (L.) L.,1,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Rosales,3Z6,Rosaceae,FTK,Prunus,6Y6H,Prunus avium,4N8P4,LC
4R5KM,Quercus montana Willd.,4R5KM,Quercus montana Willd.,3,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Fagales,384,Fagaceae,NPBN9,Quercus,8W2YL,Quercus montana,4R5KM,LC
CYVRW,Prunus serotina var. serotina,CYVRW,Prunus serotina var. serotina,2,VARIETY,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Rosales,3Z6,Rosaceae,FTK,Prunus,6Y6H,Prunus serotina,4N97Q,
RHSR,Carya ovalis (Wangenh.) Sarg.,RHSR,Carya ovalis (Wangenh.) Sarg.,3,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Fagales,384,Juglandaceae,BJB,Carya,3HXZ,Carya ovalis,RHSR,
P,Plantae,P,Plantae,193,KINGDOM,ACCEPTED,Plantae,P,,,,,,,,,,,,,
94JD,Acer rubrum L.,94JD,Acer rubrum L.,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Sapindales,3ZY,Sapindaceae,FY3,Acer,MLD,Acer rubrum,94JD,LC
5B2ZR,Verbena urticifolia L.,5B2ZR,Verbena urticifolia L.,9,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Lamiales,3F4,Verbenaceae,TMFZP,Verbena,99FT5,Verbena urticifolia,5B2ZR,
75D9H,Ostrya virginiana (Mill.) K.Koch,75D9H,Ostrya virginiana (Mill.) K.Koch,3,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Fagales,384,Betulaceae,LWT55,Ostrya,8VZZB,Ostrya virginiana,75D9H,LC
564NF,Thaspium trifoliatum (L.) A.Gray,564NF,Thaspium trifoliatum (L.) A.Gray,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Apiales,B7VXH,Apiaceae,6KC,Thaspium,7VBD,Thaspium trifoliatum,564NF,
54VX8,Taraxacum officinale Weber ex F.H.Wigg.,54VX8,Taraxacum officinale Weber ex F.H.Wigg.,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Taraxacum,7SSF,Taraxacum officinale,54VX8,
6YGR4,Senna hebecarpa (Fernald) H.S.Irwin & Barneby,6YGR4,Senna hebecarpa (Fernald) H.S.Irwin & Barneby,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Fabales,383,Fabaceae,623QT,Senna,9CM2K,Senna hebecarpa,6YGR4,
