"siteID","taxonID","scientificName","taxonRank","family","nativeStatusCode","morphospeciesID","identificationReferences","identificationHistoryID"
"CPER","TOHO","Townsendia hookeri Beaman","species","Asteraceae","N",NA,NA,NA
"CPER","TROC","Tradescantia occidentalis (Britton) Smyth","species","Commelinaceae","N",NA,NA,NA
"CPER","TRDU","Tragopogon dubius Scop.","species","Asteraceae","I",NA,NA,NA
"CPER","TRDU/TRPR","Tragopogon dubius/pratensis","speciesGroup","Asteraceae","I",NA,NA,NA
"CPER","TRLA30","Tragopogon lamottei Rouy","species","Asteraceae","I",NA,NA,NA
"CPER","TRAGO","Tragopogon sp.","genus","Asteraceae","I",NA,NA,NA
"CPER","TRAGOSPP","Tragopogon spp.","genus","Asteraceae","I",NA,NA,NA
"CPER","TRDA2","Trifolium dasyphyllum Torr. & A. Gray","species","Fabaceae","N",NA,NA,NA
"CPER","TRMI6","Tripterocalyx micranthus (Torr.) Hook.","species","Nyctaginaceae","N",NA,NA,NA
"CPER","TRITI","Triticum sp.","genus","Poaceae","I",NA,NA,NA
"CPER","2PLANT","Unknown plant","kingdom",NA,"UNK","Barrel Cactus",NA,NA
"CPER","VACCI","Vaccinium sp.","genus","Ericaceae","N",NA,NA,NA
"CPER","VEBR","Verbena bracteata Cav. ex Lag. & Rodr.","species","Verbenaceae","N",NA,NA,NA
"CPER","VIAM","Vicia americana Muhl. ex Willd.","species","Fabaceae","N",NA,NA,NA
"CPER","VICIASPP","Vicia spp.","genus","Fabaceae","UNK",NA,NA,NA
"CPER","VINU2","Viola nuttallii Pursh","species","Violaceae","N",NA,NA,NA
"CPER","VIOLA","Viola sp.","genus","Violaceae","UNK",NA,NA,NA
"CPER","VIOLAC","Violaceae sp.","family","Violaceae","UNK","Three nut violet_2017",NA,NA
"CPER","VUOC","Vulpia octoflora (Walter) Rydb.","species","Poaceae","N",NA,NA,NA
"CPER","VUOCO","Vulpia octoflora (Walter) Rydb. var. octoflora","variety","Poaceae","N",NA,NA,NA
"CPER","YUGL","Yucca glauca Nutt.","species","Agavaceae","N",NA,NA,NA
"CPER",NA,NA,NA,NA,NA,NA,NA,NA
"SCBI","ACMA","Acacia macracantha Humb. & Bonpl. ex Willd.","species","Fabaceae","N",NA,NA,NA
"SCBI","ACRH","Acalypha rhomboidea Raf.","species","Euphorbiaceae","N",NA,NA,NA
"SCBI","ACVI","Acalypha virginica L.","species","Euphorbiaceae","N",NA,NA,NA
"SCBI","ACHI","Acanthospermum hispidum DC.","species","Asteraceae","I",NA,NA,NA
"SCBI","ACNE2","Acer negundo L.","species","Aceraceae","N",NA,NA,NA
"SCBI","ACNEN","Acer negundo L. var. negundo","variety","Aceraceae","N",NA,NA,NA
"SCBI","ACPL","Acer platanoides L.","species","Aceraceae","I",NA,NA,NA
"SCBI","ACRU","Acer rubrum L.","species","Aceraceae","N",NA,NA,NA
"SCBI","ACMI2","Achillea millefolium L.","species","Asteraceae","NI",NA,NA,NA
"SCBI","ACRA7","Actaea racemosa L.","species","Ranunculaceae","N",NA,NA,NA
"SCBI","ACRU2","Actaea rubra (Aiton) Willd.","species","Ranunculaceae","N",NA,NA,NA
"SCBI","ADPE","Adiantum pedatum L.","species","Pteridaceae","N",NA,NA,NA
"SCBI","AGAL5","Ageratina altissima (L.) R.M. King & H. Rob.","species","Asteraceae","N",NA,NA,NA
"SCBI","AGALA","Ageratina altissima (L.) R.M. King & H. Rob. var. altissima","variety","Asteraceae","N",NA,NA,NA
"SCBI","AGPA6","Agrimonia parviflora Aiton","species","Rosaceae","N",NA,NA,NA
"SCBI","AGRO3","Agrimonia rostellata Wallr.","species","Rosaceae","N",NA,NA,NA
"SCBI","AGGI2","Agrostis gigantea Roth","species","Poaceae","I",NA,NA,NA
"SCBI","AGROS2","Agrostis sp.","genus","Poaceae","UNK","simple feather agrostis",NA,NA
"SCBI","AIAL","Ailanthus altissima (Mill.) Swingle","species","Simaroubaceae","I",NA,NA,NA
"SCBI","ALPE4","Alliaria petiolata (M. Bieb.) Cavara & Grande","species","Brassicaceae","I",NA,NA,NA
"SCBI","ALVI","Allium vineale L.","species","Liliaceae","I",NA,NA,NA
"SCBI","ALCA5","Alternanthera caracasana Kunth","species","Amaranthaceae","I",NA,NA,NA
"SCBI","AMARAN","Amaranthaceae sp.","family","Amaranthaceae","UNK","stripestem pigweed",NA,NA
"SCBI","AMAR2","Ambrosia artemisiifolia L.","species","Asteraceae","NI",NA,NA,NA
"SCBI","AMAR3","Amelanchier arborea (Michx. f.) Fernald","species","Rosaceae","N",NA,NA,NA
"SCBI","AMELA","Amelanchier sp.","genus","Rosaceae","N",NA,NA,NA
"SCBI","AMBR2","Amphicarpaea bracteata (L.) Fernald","species","Fabaceae","N",NA,NA,NA
"SCBI","ANAR","Anagallis arvensis L.","species","Primulaceae","I",NA,NA,NA
"SCBI","ANGE","Andropogon gerardii Vitman","species","Poaceae","N",NA,NA,NA
"SCBI","ANDRO2","Andropogon sp.","genus","Poaceae","N",NA,NA,NA
"SCBI","ANVIV","Andropogon virginicus L. var. virginicus","variety","Poaceae","N",NA,NA,NA
"SCBI","ANVIV2","Anemone virginiana L. var. virginiana","variety","Ranunculaceae","N",NA,NA,NA
"SCBI","ANAR6","Anthemis arvensis L.","species","Asteraceae","I",NA,NA,NA
"SCBI","ANOD","Anthoxanthum odoratum L.","species","Poaceae","I",NA,NA,NA
"SCBI","APHY","Aplectrum hyemale (Muhl. ex Willd.) Torr.","species","Orchidaceae","N",NA,NA,NA
"SCBI","APCA","Apocynum cannabinum L.","species","Apocynaceae","N",NA,NA,NA
"SCBI","APOCY","Apocynum sp.","genus","Apocynaceae","N",NA,NA,NA
"SCBI","ARLA","Arabis laevigata (Muhl. ex Willd.) Poir.","species","Brassicaceae","N",NA,NA,NA
"SCBI","ARMI2","Arctium minus Bernh.","species","Asteraceae","I",NA,NA,NA
"SCBI","ARTR","Arisaema triphyllum (L.) Schott","species","Araceae","N",NA,NA,NA
"SCBI","ARTRT3","Arisaema triphyllum (L.) Schott ssp. triphyllum","subspecies","Araceae","N",NA,NA,NA
"SCBI","ARSE3","Aristolochia serpentaria L.","species","Aristolochiaceae","N",NA,NA,NA
"SCBI","AREL3","Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl","species","Poaceae","I",NA,NA,NA
"SCBI","ARAN3","Artemisia annua L.","species","Asteraceae","I",NA,NA,NA
"SCBI","ARHI3","Arthraxon hispidus (Thunb.) Makino","species","Poaceae","I",NA,NA,NA
"SCBI","ASCA","Asarum canadense L.","species","Aristolochiaceae","N",NA,NA,NA
"SCBI","ASSY","Asclepias syriaca L.","species","Asclepiadaceae","N",NA,NA,NA
"SCBI","ASVI","Asclepias viridiflora Raf.","species","Asclepiadaceae","N",NA,NA,NA
"SCBI","ASTR","Asimina triloba (L.) Dunal","species","Annonaceae","N",NA,NA,NA
"SCBI","ASOF","Asparagus officinalis L.","species","Liliaceae","I",NA,NA,NA
"SCBI","ASPI","Asplenium pinnatifidum Nutt.","species","Aspleniaceae","N",NA,NA,NA
"SCBI","ASPL","Asplenium platyneuron (L.) Britton, Sterns & Poggenb.","species","Aspleniaceae","N",NA,NA,NA
"SCBI","ASTERA","Asteraceae sp.","family","Asteraceae","UNK","entire smooth aster",NA,NA
"SCBI","ASTERASPP","Asteraceae spp.","family","Asteraceae","UNK","TAA",NA,NA
"SCBI","ATFIA2","Athyrium filix-femina (L.) Roth ssp. asplenioides (Michx.) Hultén","subspecies","Dryopteridaceae","N",NA,NA,NA
"SCBI","ATHYR","Athyrium sp.","genus","Dryopteridaceae","N",NA,NA,NA
"SCBI","BARBA","Barbarea sp.","genus","Brassicaceae","I",NA,NA,NA
"SCBI","BAVU","Barbarea vulgaris W.T. Aiton","species","Brassicaceae","I",NA,NA,NA
"SCBI","BECH","Belamcanda chinensis (L.) DC.","species","Iridaceae","I",NA,NA,NA
"SCBI","BETH","Berberis thunbergii DC.","species","Berberidaceae","I",NA,NA,NA
"SCBI","BENI","Betula nigra L.","species","Betulaceae","N",NA,NA,NA
"SCBI","BOCY","Boehmeria cylindrica (L.) Sw.","species","Urticaceae","N",NA,NA,NA
"SCBI","BODI2","Botrychium dissectum Spreng.","species","Ophioglossaceae","N",NA,NA,NA
"SCBI","BOVI","Botrychium virginianum (L.) Sw.","species","Ophioglossaceae","N",NA,NA,NA
"SCBI","BRER2","Brachyelytrum erectum (Schreb. ex Spreng.) P. Beauv.","species","Poaceae","N",NA,NA,NA
