label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Descurainia pinnata (Walter) Britton,Descurainia pinnata,Descurainia pinnata (Walter) Britton,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Descurainia Descurainia pinnata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Distichlis spicata (L.) Greene,Distichlis spicata,Distichlis spicata (L.) Greene,Plantae Tracheophyta Liliopsida Poales Poaceae Distichlis Distichlis spicata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Echinocereus viridiflorus Engelm.,Echinocereus viridiflorus,Echinocereus viridiflorus Engelm.,Plantae Tracheophyta Magnoliopsida Caryophyllales Cactaceae Echinocereus Echinocereus viridiflorus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Elymus elymoides (Raf.) Swezey,Elymus elymoides,Elymus elymoides (Raf.) Swezey,Plantae Tracheophyta Liliopsida Poales Poaceae Elymus Elymus elymoides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird,Ericameria nauseosa,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Ericameria Ericameria nauseosa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Eriogonum effusum Nutt.,Eriogonum effusum,Eriogonum effusum Nutt.,Plantae Tracheophyta Magnoliopsida Caryophyllales Polygonaceae Eriogonum Eriogonum effusum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Eritrichium nanum (Vill.) Schrad. ex Gaudin,Eritrichium nanum,Eritrichium nanum (Vill.) Schrad. ex Gaudin,Plantae Tracheophyta Magnoliopsida Boraginales Boraginaceae Eritrichium Eritrichium nanum,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Escobaria vivipara (Nutt.) Buxbaum,Pelecyphora vivipara,Escobaria vivipara (Nutt.) Buxbaum,Plantae Tracheophyta Magnoliopsida Caryophyllales Cactaceae Pelecyphora Pelecyphora vivipara,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Evolvulus nuttallianus Schult.,Evolvulus nuttallianus,Evolvulus nuttallianus Schult.,Plantae Tracheophyta Magnoliopsida Solanales Convolvulaceae Evolvulus Evolvulus nuttallianus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Grindelia squarrosa (Pursh) Dunal,Grindelia squarrosa,Grindelia squarrosa (Pursh) Dunal,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Grindelia Grindelia squarrosa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Gutierrezia sarothrae (Pursh) Britton & Rusby,Gutierrezia sarothrae,Gutierrezia sarothrae (Pursh) Britton & Rusby,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Gutierrezia Gutierrezia sarothrae,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Helianthus annuus L.,Helianthus annuus,Helianthus annuus L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Helianthus Helianthus annuus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
