label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Calystegia silvatica (Kit.) Griseb.,Calystegia silvatica,Calystegia silvatica (Kit.) Griseb.,Plantae Tracheophyta Magnoliopsida Solanales Convolvulaceae Calystegia silvatica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Calystegia sp.,Calystegia ,Calystegia sp.,Plantae Tracheophyta Magnoliopsida Solanales Convolvulaceae Calystegia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Campsis radicans (L.) Seem. ex Bureau,Campsis radicans,Campsis radicans (L.) Seem. ex Bureau,Plantae Tracheophyta Magnoliopsida Lamiales Bignoniaceae Campsis radicans,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Cardamine concatenata (Michx.) Sw.,Cardamine concatenata,Cardamine concatenata (Michx.) Sw.,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Cardamine concatenata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Cardamine hirsuta L.,Cardamine hirsuta,Cardamine hirsuta L.,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Cardamine hirsuta,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Cardamine pensylvanica Muhl. ex Willd.,Cardamine pensylvanica,Cardamine pensylvanica Muhl. ex Willd.,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Cardamine pensylvanica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Cardamine sp.,Cardamine ,Cardamine sp.,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Cardamine,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carduus acanthoides L.,Carduus acanthoides,Carduus acanthoides L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Carduus acanthoides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Carduus nutans L.,Carduus nutans,Carduus nutans L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Carduus nutans,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Carduus sp.,Carduus ,Carduus sp.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Carduus,MULTI_EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_HOMONYM
Carex aggregata Mack.,Carex aggregata,Carex aggregata Mack.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex aggregata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex amphibola Steud.,Carex amphibola,Carex amphibola Steud.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex amphibola,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex blanda Dewey,Carex blanda,Carex blanda Dewey,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex blanda,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex brevior (Dewey) Mack.,Carex brevior,Carex brevior (Dewey) Mack.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex brevior,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Carex bushii Mack.,Carex bushii,Carex bushii Mack.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex bushii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex cephalophora Muhl. ex Willd.,Carex cephalophora,Carex cephalophora Muhl. ex Willd.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex cephalophora,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Carex conjuncta Boott,Carex conjuncta,Carex conjuncta Boott,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex conjuncta,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex debilis Michx.,Carex debilis,Carex debilis Michx.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex debilis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Carex digitalis Willd. var. digitalis,Carex digitalis,Carex digitalis Willd. var. digitalis,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex digitalis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex flaccosperma Dewey,Carex flaccosperma,Carex flaccosperma Dewey,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex flaccosperma,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex frankii Kunth,Carex frankii,Carex frankii Kunth,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex frankii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Carex gracillima Schwein.,Carex gracillima,Carex gracillima Schwein.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex gracillima,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Carex gravida L.H. Bailey,Carex gravida,Carex gravida L.H. Bailey,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex gravida,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex hirsutella Mack.,Carex hirsutella,Carex hirsutella Mack.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex hirsutella,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex laxiflora Lam.,Carex laxiflora,Carex laxiflora Lam.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex laxiflora,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Carex leavenworthii Dewey,Carex leavenworthii,Carex leavenworthii Dewey,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex leavenworthii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex mesochorea Mack.,Carex mesochorea,Carex mesochorea Mack.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex mesochorea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex molesta Mack. ex Bright,Carex molesta,Carex molesta Mack. ex Bright,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex molesta,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Carex molestiformis Reznicek & P. Rothr.,Carex molestiformis,Carex molestiformis Reznicek & P. Rothr.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex molestiformis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex muehlenbergii Schkuhr ex Willd.,Carex muehlenbergii,Carex muehlenbergii Schkuhr ex Willd.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex muehlenbergii,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
"Carex ouachitana Kral, Manhart & Bryson",Carex ouachitana,"Carex ouachitana Kral, Manhart & Bryson",Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex ouachitana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex platyphylla Carey,Carex platyphylla,Carex platyphylla Carey,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex platyphylla,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Carex radiata (Wahlenb.) Small,Carex radiata,Carex radiata (Wahlenb.) Small,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex radiata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex rosea Schkuhr ex Willd.,Carex rosea,Carex rosea Schkuhr ex Willd.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex rosea,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Carex sp.,Carex ,Carex sp.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Carex sparganioides Muhl. ex Willd.,Carex sparganioides,Carex sparganioides Muhl. ex Willd.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex sparganioides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Carex squarrosa L.,Carex squarrosa,Carex squarrosa L.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex squarrosa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex swanii (Fernald) Mack.,Carex swanii,Carex swanii (Fernald) Mack.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex swanii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex tonsa (Fernald) E.P. Bicknell,Carex tonsa,Carex tonsa (Fernald) E.P. Bicknell,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex tonsa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex vulpinoidea Michx.,Carex vulpinoidea,Carex vulpinoidea Michx.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex vulpinoidea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Carex willdenowii Schkuhr ex Willd.,Carex willdenowii,Carex willdenowii Schkuhr ex Willd.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex willdenowii,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Carpinus caroliniana Walter,Carpinus caroliniana,Carpinus caroliniana Walter,Plantae Tracheophyta Magnoliopsida Fagales Betulaceae Carpinus caroliniana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carya cordiformis (Wangenh.) K. Koch,Carya cordiformis,Carya cordiformis (Wangenh.) K. Koch,Plantae Tracheophyta Magnoliopsida Fagales Juglandaceae Carya cordiformis,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Carya glabra (Mill.) Sweet,Carya glabra,Carya glabra (Mill.) Sweet,Plantae Tracheophyta Magnoliopsida Fagales Juglandaceae Carya glabra,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carya ovalis (Wangenh.) Sarg.,Carya ovalis,Carya ovalis (Wangenh.) Sarg.,Plantae Tracheophyta Magnoliopsida Fagales Juglandaceae Carya ovalis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carya sp.,Carya ,Carya sp.,Plantae Tracheophyta Magnoliopsida Fagales Juglandaceae Carya,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carya texana Buckley,Carya texana,Carya texana Buckley,Plantae Tracheophyta Magnoliopsida Fagales Juglandaceae Carya texana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
