label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Acer rubrum L.,Acer rubrum,Acer rubrum L.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer Acer rubrum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Actaea racemosa L.,Actaea racemosa,Actaea racemosa L.,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Actaea Actaea racemosa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Adiantum pedatum L.,Adiantum pedatum,Adiantum pedatum L.,Plantae Tracheophyta Polypodiopsida Polypodiales Pteridaceae Adiantum Adiantum pedatum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Alliaria petiolata (M. Bieb.) Cavara & Grande,Alliaria petiolata,Alliaria petiolata (M. Bieb.) Cavara & Grande,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Alliaria Alliaria petiolata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Asarum canadense L.,Asarum canadense,Asarum canadense L.,Plantae Tracheophyta Magnoliopsida Piperales Aristolochiaceae Asarum Asarum canadense,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Asimina triloba (L.) Dunal,Asimina triloba,Asimina triloba (L.) Dunal,Plantae Tracheophyta Magnoliopsida Magnoliales Annonaceae Asimina Asimina triloba,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Asplenium pinnatifidum Nutt.,Asplenium pinnatifidum,Asplenium pinnatifidum Nutt.,Plantae Tracheophyta Polypodiopsida Polypodiales Aspleniaceae Asplenium Asplenium pinnatifidum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Berberis thunbergii DC.,Berberis thunbergii,Berberis thunbergii DC.,Plantae Tracheophyta Magnoliopsida Ranunculales Berberidaceae Berberis Berberis thunbergii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Boehmeria cylindrica (L.) Sw.,Boehmeria cylindrica,Boehmeria cylindrica (L.) Sw.,Plantae Tracheophyta Magnoliopsida Rosales Urticaceae Boehmeria Boehmeria cylindrica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Botrychium virginianum (L.) Sw.,Botrychium virginianum,Botrychium virginianum (L.) Sw.,Plantae Tracheophyta Polypodiopsida Ophioglossales Ophioglossaceae Botrychium Botrychium virginianum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
