label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Alliaria petiolata (M. Bieb.) Cavara & Grande,Alliaria petiolata,Alliaria petiolata (M. Bieb.) Cavara & Grande,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Alliaria Alliaria petiolata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Allium vineale L.,Allium vineale,Allium vineale L.,Plantae Tracheophyta Liliopsida Asparagales Amaryllidaceae Allium Allium vineale,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Amphicarpaea bracteata (L.) Fernald,Amphicarpaea bracteata,Amphicarpaea bracteata (L.) Fernald,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Amphicarpaea Amphicarpaea bracteata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Berberis thunbergii DC.,Berberis thunbergii,Berberis thunbergii DC.,Plantae Tracheophyta Magnoliopsida Ranunculales Berberidaceae Berberis Berberis thunbergii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Boehmeria cylindrica (L.) Sw.,Boehmeria cylindrica,Boehmeria cylindrica (L.) Sw.,Plantae Tracheophyta Magnoliopsida Rosales Urticaceae Boehmeria Boehmeria cylindrica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Botrychium virginianum (L.) Sw.,Botrychium virginianum,Botrychium virginianum (L.) Sw.,Plantae Tracheophyta Polypodiopsida Ophioglossales Ophioglossaceae Botrychium Botrychium virginianum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Carya glabra (Mill.) Sweet,Carya glabra,Carya glabra (Mill.) Sweet,Plantae Tracheophyta Magnoliopsida Fagales Juglandaceae Carya Carya glabra,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carya tomentosa (Lam.) Nutt.,Carya alba,Carya tomentosa (Lam.) Nutt.,Plantae Tracheophyta Magnoliopsida Fagales Juglandaceae Carya Carya alba,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Celtis occidentalis L.,Celtis occidentalis,Celtis occidentalis L.,Plantae Tracheophyta Magnoliopsida Rosales Cannabaceae Celtis Celtis occidentalis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Commelina communis L.,Commelina communis,Commelina communis L.,Plantae Tracheophyta Liliopsida Commelinales Commelinaceae Commelina Commelina communis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Duchesnea indica (Andrews) Focke,Potentilla indica,Duchesnea indica (Andrews) Teschem.,Plantae Tracheophyta Magnoliopsida Rosales Rosaceae Potentilla Potentilla indica,MULTI_EXACT_MATCH_PRIMARY_SOURCE_SYNONYMS_INFRASPECIFIC_SCORE
Festuca subverticillata (Pers.) Alexeev,Festuca subverticillata,Festuca subverticillata (Pers.) Alexeev,Plantae Tracheophyta Liliopsida Poales Poaceae Festuca Festuca subverticillata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
