label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Allium textile A. Nelson & J.F. Macbr.,Allium textile,Allium textile A. Nelson & J.F. Macbr.,Plantae Tracheophyta Liliopsida Asparagales Amaryllidaceae Allium Allium textile,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Argemone polyanthemos (Fedde) G.B. Ownbey,Argemone polyanthemos,Argemone polyanthemos (Fedde) G.B. Ownbey,Plantae Tracheophyta Magnoliopsida Ranunculales Papaveraceae Argemone Argemone polyanthemos,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Aristida purpurea Nutt.,Aristida purpurea,Aristida purpurea Nutt.,Plantae Tracheophyta Liliopsida Poales Poaceae Aristida Aristida purpurea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Artemisia frigida Willd.,Artemisia frigida,Artemisia frigida Willd.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia Artemisia frigida,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Bouteloua dactyloides (Nutt.) J.T. Columbus,Bouteloua dactyloides,Bouteloua dactyloides (Nutt.) J.T. Columbus,Plantae Tracheophyta Liliopsida Poales Poaceae Bouteloua Bouteloua dactyloides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths,Bouteloua gracilis,Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths,Plantae Tracheophyta Liliopsida Poales Poaceae Bouteloua Bouteloua gracilis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Carex duriuscula C.A. Mey.,Carex duriuscula,Carex duriuscula C.A. Mey.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex Carex duriuscula,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Chamaesyce glyptosperma (Engelm.) Small,Euphorbia glyptosperma,Chamaesyce glyptosperma (Engelm.) Small,Plantae Tracheophyta Magnoliopsida Malpighiales Euphorbiaceae Euphorbia Euphorbia glyptosperma,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Cirsium canescens Nutt.,Cirsium canescens,Cirsium canescens Nutt.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Cirsium Cirsium canescens,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Cleome serrulata Pursh,Cleome serrulata Pursh,Cleome serrulata Pursh,Plantae Cleome Cleome serrulata Pursh,FORCE_ACCEPTED
Conyza canadensis (L.) Cronquist,Erigeron canadensis,Conyza canadensis (L.) Cronquist,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Erigeron Erigeron canadensis,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Cryptantha crassisepala (Torr. & A. Gray) Greene,Cryptantha crassisepala,Cryptantha crassisepala (Torr. & A. Gray) Greene,Plantae Tracheophyta Magnoliopsida Boraginales Boraginaceae Cryptantha Cryptantha crassisepala,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Cryptantha minima Rydb.,Cryptantha minima,Cryptantha minima Rydb.,Plantae Tracheophyta Magnoliopsida Boraginales Boraginaceae Cryptantha Cryptantha minima,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Descurainia pinnata (Walter) Britton,Descurainia pinnata,Descurainia pinnata (Walter) Britton,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Descurainia Descurainia pinnata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Echinocereus viridiflorus Engelm.,Echinocereus viridiflorus,Echinocereus viridiflorus Engelm.,Plantae Tracheophyta Magnoliopsida Caryophyllales Cactaceae Echinocereus Echinocereus viridiflorus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Elymus elymoides (Raf.) Swezey,Elymus elymoides,Elymus elymoides (Raf.) Swezey,Plantae Tracheophyta Liliopsida Poales Poaceae Elymus Elymus elymoides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Eriogonum effusum Nutt.,Eriogonum effusum,Eriogonum effusum Nutt.,Plantae Tracheophyta Magnoliopsida Caryophyllales Polygonaceae Eriogonum Eriogonum effusum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Escobaria vivipara (Nutt.) Buxbaum,Pelecyphora vivipara,Escobaria vivipara (Nutt.) Buxbaum,Plantae Tracheophyta Magnoliopsida Caryophyllales Cactaceae Pelecyphora Pelecyphora vivipara,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
