label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Aristida purpurea Nutt.,Aristida purpurea,Aristida purpurea Nutt.,Plantae Tracheophyta Liliopsida Poales Poaceae Aristida Aristida purpurea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Artemisia frigida Willd.,Artemisia frigida,Artemisia frigida Willd.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia Artemisia frigida,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Bouteloua dactyloides (Nutt.) J.T. Columbus,Bouteloua dactyloides,Bouteloua dactyloides (Nutt.) J.T. Columbus,Plantae Tracheophyta Liliopsida Poales Poaceae Bouteloua Bouteloua dactyloides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths,Bouteloua gracilis,Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths,Plantae Tracheophyta Liliopsida Poales Poaceae Bouteloua Bouteloua gracilis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Carex duriuscula C.A. Mey.,Carex duriuscula,Carex duriuscula C.A. Mey.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex Carex duriuscula,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Cirsium canescens Nutt.,Cirsium canescens,Cirsium canescens Nutt.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Cirsium Cirsium canescens,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Cryptantha minima Rydb.,Cryptantha minima,Cryptantha minima Rydb.,Plantae Tracheophyta Magnoliopsida Boraginales Boraginaceae Cryptantha Cryptantha minima,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Dalea candida Michx. ex Willd.,Dalea candida,Dalea candida Michx. ex Willd.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Dalea Dalea candida,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Echinocereus viridiflorus Engelm.,Echinocereus viridiflorus,Echinocereus viridiflorus Engelm.,Plantae Tracheophyta Magnoliopsida Caryophyllales Cactaceae Echinocereus Echinocereus viridiflorus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Elymus elymoides (Raf.) Swezey,Elymus elymoides,Elymus elymoides (Raf.) Swezey,Plantae Tracheophyta Liliopsida Poales Poaceae Elymus Elymus elymoides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird,Ericameria nauseosa,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Ericameria Ericameria nauseosa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Escobaria vivipara (Nutt.) Buxbaum,Pelecyphora vivipara,Escobaria vivipara (Nutt.) Buxbaum,Plantae Tracheophyta Magnoliopsida Caryophyllales Cactaceae Pelecyphora Pelecyphora vivipara,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Gutierrezia sarothrae (Pursh) Britton & Rusby,Gutierrezia sarothrae,Gutierrezia sarothrae (Pursh) Britton & Rusby,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Gutierrezia Gutierrezia sarothrae,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Hesperostipa comata (Trin. & Rupr.) Barkworth,Hesperostipa comata,Hesperostipa comata (Trin. & Rupr.) Barkworth,Plantae Tracheophyta Liliopsida Poales Poaceae Hesperostipa Hesperostipa comata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Heterotheca villosa (Pursh) Shinners,Heterotheca villosa,Heterotheca villosa (Pursh) Shinners,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Heterotheca Heterotheca villosa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Lepidium densiflorum Schrad.,Lepidium densiflorum,Lepidium densiflorum Schrad.,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Lepidium Lepidium densiflorum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Leucocrinum montanum Nutt. ex A. Gray,Leucocrinum montanum,Leucocrinum montanum Nutt. ex A. Gray,Plantae Tracheophyta Liliopsida Asparagales Asparagaceae Leucocrinum Leucocrinum montanum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Lomatium nuttallii (A. Gray) J.F. Macbr.,Lomatium nuttallii,Lomatium nuttallii (A. Gray) J.F. Macbr.,Plantae Tracheophyta Magnoliopsida Apiales Apiaceae Lomatium Lomatium nuttallii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Machaeranthera tanacetifolia (Kunth) Nees,Machaeranthera tanacetifolia,Machaeranthera tanacetifolia (Kunth) Nees,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Machaeranthera Machaeranthera tanacetifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Mirabilis linearis (Pursh) Heimerl,Mirabilis linearis,Mirabilis linearis (Pursh) Heimerl,Plantae Tracheophyta Magnoliopsida Caryophyllales Nyctaginaceae Mirabilis Mirabilis linearis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Muhlenbergia torreyi (Kunth) Hitchc. ex Bush,Muhlenbergia torreyi,Muhlenbergia torreyi (Kunth) Hitchc. ex Bush,Plantae Tracheophyta Liliopsida Poales Poaceae Muhlenbergia Muhlenbergia torreyi,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Oenothera albicaulis Pursh,Oenothera albicaulis,Oenothera albicaulis Pursh,Plantae Tracheophyta Magnoliopsida Myrtales Onagraceae Oenothera Oenothera albicaulis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Opuntia polyacantha Haw.,Opuntia polyacantha,Opuntia polyacantha Haw.,Plantae Tracheophyta Magnoliopsida Caryophyllales Cactaceae Opuntia Opuntia polyacantha,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Pascopyrum smithii (Rydb.) Á. Löve,Elymus smithii,Pascopyrum smithii (Rydb.) Á. Löve,Plantae Tracheophyta Liliopsida Poales Poaceae Elymus Elymus smithii,MULTI_EXACT_MATCH_PRIMARY_SOURCE_SYNONYMS_INFRASPECIFIC_SCORE
Penstemon albidus Nutt.,Penstemon albidus,Penstemon albidus Nutt.,Plantae Tracheophyta Magnoliopsida Lamiales Plantaginaceae Penstemon Penstemon albidus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Picradeniopsis oppositifolia (Nutt.) Rydb. ex Britton,Picradeniopsis oppositifolia,Picradeniopsis oppositifolia (Nutt.) Rydb. ex Britton,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Picradeniopsis Picradeniopsis oppositifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Plantago patagonica Jacq.,Plantago patagonica,Plantago patagonica Jacq.,Plantae Tracheophyta Magnoliopsida Lamiales Plantaginaceae Plantago Plantago patagonica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Psoralidium tenuiflorum (Pursh) Rydb.,Pediomelum tenuiflorum,Psoralidium tenuiflorum (Pursh) Rydb.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Pediomelum Pediomelum tenuiflorum,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Salsola collina Pall.,Salsola collina,Salsola collina Pall.,Plantae Tracheophyta Magnoliopsida Caryophyllales Amaranthaceae Salsola Salsola collina,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Sophora nuttalliana B.L. Turner,Sophora nuttalliana,Sophora nuttalliana B.L. Turner,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Sophora Sophora nuttalliana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Sphaeralcea coccinea (Nutt.) Rydb.,Sphaeralcea coccinea,Sphaeralcea coccinea (Nutt.) Rydb.,Plantae Tracheophyta Magnoliopsida Malvales Malvaceae Sphaeralcea Sphaeralcea coccinea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Sporobolus cryptandrus (Torr.) A. Gray,Sporobolus cryptandrus,Sporobolus cryptandrus (Torr.) A. Gray,Plantae Tracheophyta Liliopsida Poales Poaceae Sporobolus Sporobolus cryptandrus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Thelesperma filifolium (Hook.) A. Gray,Thelesperma filifolium,Thelesperma filifolium (Hook.) A. Gray,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Thelesperma Thelesperma filifolium,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Thelesperma megapotamicum (Spreng.) Kuntze,Thelesperma megapotamicum,Thelesperma megapotamicum (Spreng.) Kuntze,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Thelesperma Thelesperma megapotamicum,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Tradescantia occidentalis (Britton) Smyth,Tradescantia occidentalis,Tradescantia occidentalis (Britton) Smyth,Plantae Tracheophyta Liliopsida Commelinales Commelinaceae Tradescantia Tradescantia occidentalis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Tragopogon dubius Scop.,Tragopogon dubius,Tragopogon dubius Scop.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Tragopogon Tragopogon dubius,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Vicia americana Muhl. ex Willd.,Vicia americana,Vicia americana Muhl. ex Willd.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Vicia Vicia americana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Vulpia octoflora (Walter) Rydb.,Festuca octoflora,Vulpia octoflora (Walter) Rydb.,Plantae Tracheophyta Liliopsida Poales Poaceae Festuca Festuca octoflora,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
